series,season,title,subtitle,title_pic,inbound_ill,release,maincharacters,eventtimeframe,locations,release_year,author_pos,author,gender
Band 1007,Die Kosmische Hanse,Die Kosmische Hanse,Ein Fremder taucht auf – im Jahr 424 NGZ,Johnny Bruck,Themistokles Kanellakis (2 x),"Dienstag, 9. Dezember 1980","Perry Rhodan, Pygros Hammlon, Derral Smago, Robert W. G. Aerts, Quiupu",12. August 424 NGZ,"Terrania, Wega-System",1980.0,a1,William Voltz,male
Band 1008,Die Kosmische Hanse,Ein Computer spielt verrückt,Alarm auf Mardi-Gras – Ein Stützpunkt in Gefahr,Johnny Bruck,Themistokles Kanellakis (2 x),"Dienstag, 16. Dezember 1980","Alja Symens, Kredo Harven, Jost Governor, John Nack, Mimi, Albert",August 424 NGZ,Mardi-Gras,1980.0,a1,Ernst Vlcek,male
Band 1009,Die Kosmische Hanse,Agenten auf Mardi-Gras,Menschen auf verlorenem Posten – der Amoklauf der Maschinen beginnt,Johnny Bruck,Themistokles Kanellakis (1 x),"Dienstag, 23. Dezember 1980","Perry Rhodan, Robert W. G. Aerts, John Nack, Narom Kensaler, Olaf Porand, Alja Symens, Mimi",August 424 NGZ,Mardi-Gras,1980.0,a1,Ernst Vlcek,male
Band 101,Die Posbis,Der Weltraum-Tramp,Er bricht die Gesetze – aber er hilft den Schiffbrüchigen auf dem lebenden Planeten!,Johnny Bruck,Johnny Bruck,"Freitag, 9. August 1963","Captain Samuel Graybound, Rex Knatterbull, Oberst Ludwig Rammbüggl, Torero, Henry Smith, Perry Rhodan, Gucky",März 2102,"Terra, Plasmaplanet",1963.0,a1,Clark Darlton,male
Band 1010,Die Kosmische Hanse,Der Computermensch,Angriff der Brutzellen – Menschen und Maschinen sind die Opfer,Johnny Bruck,Themistokles Kanellakis (2 x),"Dienstag, 30. Dezember 1980","Adelaie, Mortimer Skand, Marcel Boulmeester, Quiupu, Perry Rhodan",September 424 NGZ,Terrania,1980.0,a1,Peter Griese,male
Band 1011,Die Kosmische Hanse,Angriff der Brutzellen,Der Computermensch als Werkzeug – und als Waffe,Johnny Bruck,Themistokles Kanellakis (1 x),"Dienstag, 6. Januar 1981","Marcel Boulmeester, Der Fünfte Bote, Adelaie, Mortimer Skand, Quiupu, Deininger",September 424 NGZ,"Terra, OUTPOST-4271",1981.0,a1,Peter Griese,male
Band 1012,Die Kosmische Hanse,Der programmierte Mann,Er ist ein Agent von Seth-Apophis – aber er weiß es nicht,Johnny Bruck,Themistokles Kanellakis (2 x),"Dienstag, 13. Januar 1981","Bruke Tosen, Amby Törn, Xingar, Gruude Vern, Fellmer Lloyd",424 NGZ,Jarvith-Jarv,1981.0,a1,H. G. Francis,male
Band 1013,Die Kosmische Hanse,Die Spoodie-Seuche,Chaos im Nest der 17. Flotte – drei Betschiden im Brennpunkt der Gefahren,Johnny Bruck,Themistokles Kanellakis (2 x),"Dienstag, 20. Januar 1981","Surfo Mallagan, Brether Faddon, Scoutie, Daccsier, Sudha, Gonos",424 NGZ,Nest der 17. Flotte,1981.0,a1,H. G. Ewers,male
Band 1014,Die Kosmische Hanse,Alles für die SOL,Hetzjagd auf Kranenfalle – ein Abenteuer mit den drei Betschiden,Johnny Bruck,Themistokles Kanellakis (2 x),"Dienstag, 27. Januar 1981","Surfo Mallagan, Brether Faddon, Scoutie, Mayer, Daccsier, Gonos",424 NGZ,Kranenfalle,1981.0,a1,H. G. Ewers,male
Band 1015,Die Kosmische Hanse,Das Schiff der Ahnen,Sie erreichen ihr Ziel – und verlieren ihren Traum,Johnny Bruck,Themistokles Kanellakis (2 x),"Dienstag, 3. Februar 1981","Surfo Mallagan, Brether Faddon, Scoutie",424 NGZ,Kranenfalle,1981.0,a1,Marianne Sydow,female
Band 1016,Die Kosmische Hanse,Zwischenspiel auf Karselpun,Die drei Betschiden – auf dem langen Weg nach Kran,Johnny Bruck,Themistokles Kanellakis (2 x),"Dienstag, 10. Februar 1981","Surfo Mallagan, Brether Faddon, Scoutie, Keros, Jons, Cersonur",424 NGZ,Nest der 17. Flotte,1981.0,a1,Clark Darlton,male
Band 1017,Die Kosmische Hanse,Auf den Spuren der Bruderschaft,Er trägt zwei Spoodies – das macht ihn zum Gehetzten,Johnny Bruck,Themistokles Kanellakis (1 x),"Dienstag, 17. Februar 1981","Surfo Mallagan, Brether Faddon, Scoutie, Killsoffer, Kerlighan, Clazzence, Neriduur",424 NGZ,Keryan,1981.0,a1,Kurt Mahr,male
Band 1018,Die Kosmische Hanse,Die Betschiden und der Jäger,Drei von Chircool – in der Maske von Mutanten,Johnny Bruck,Themistokles Kanellakis (2 x),"Dienstag, 24. Februar 1981","Surfo Mallagan, Brether Faddon, Scoutie, Firsenq, Versellu, Spottlos, Barkhaden, Kersyl",424 NGZ,Keryan,1981.0,a1,Kurt Mahr,male
Band 1019,Die Kosmische Hanse,In den Händen der Bruderschaft,Die drei Betschiden – im Konflikt der Interessen,Johnny Bruck,Themistokles Kanellakis (2 x),"Dienstag, 3. März 1981","Surfo Mallagan, Brether Faddon, Scoutie, Sargamec, Breborn, Carderhör, Lyrst",424 NGZ,Keryan,1981.0,a1,Hans Kneifel,male
Band 102,Die Posbis,Abteilung III greift ein,Terras Spürhunde auf heißer Fährte! – Wer hat die CAROLINA vernichtet …?,Johnny Bruck,Johnny Bruck,"Freitag, 16. August 1963","Nike Quinto, Ron Landry, Larry Randall, Alboolal, Richard Silligan, Lyn Trenton, Dynah Langmuir, E. D. Rykher",2102,"Ghama, Terra, CAROLINA, CAROLINA II, ROYAL IRISH und URANIA",1963.0,a1,Kurt Mahr,male
Band 1020,Die Kosmische Hanse,Das Viren-Experiment,Das Grauen geht um – Quiupus Geschöpf bedroht die Welt,Johnny Bruck,Themistokles Kanellakis (1 x),"Dienstag, 10. März 1981","Quiupu, Jen Salik, Quiryleinen, Perry Rhodan, Reginald Bull",424 NGZ,"Khrat, Terra",1981.0,a1,William Voltz,male
Band 1021,Die Kosmische Hanse,Der unsichtbare Gegner,Ein Haluter läuft Amok – im Bann der unheimlichen Macht,Johnny Bruck,Themistokles Kanellakis (2 x),"Dienstag, 17. März 1981","Icho Tolot, Addison Uptigrove, Gernon Egk, Robert Archibald, Bruke Tosen",424 NGZ,Terra,1981.0,a1,H. G. Francis,male
Band 1022,Die Kosmische Hanse,Der Held von Arxisto,Bedrohung aus dem Nichts – die Insektenkrieger kommen,Johnny Bruck,Themistokles Kanellakis (1 x),"Dienstag, 24. März 1981","Arger Staball, Catherc, Gwen Corlin, Linde Heafen, Askaargud, Aschantatscht",424 NGZ,Arxisto,1981.0,a1,Ernst Vlcek,male
Band 1023,Die Kosmische Hanse,Die Quarantäne­flotte,Sie sind Verfemte – und stammen aus den Gefilden der Zeit,Johnny Bruck,Themistokles Kanellakis (2 x),"Dienstag, 31. März 1981","Galgan Maresch, Perry Rhodan, Thoxhar, Dareena, Eiling, Beneder",424 NGZ,Arx-System,1981.0,a1,Peter Terrid,male
Band 1024,Die Kosmische Hanse,ZEITMÜLL,Menschen und Fremde – im Chaos von Arxisto,Johnny Bruck,Themistokles Kanellakis (2 x),"Dienstag, 7. April 1981","Perry Rhodan, Arger Staball, Icho Tolot, Kyrr, Marlett Berga, Anny Vorscheyn, Tom Barrett",424 NGZ,Arx-System,1981.0,a1,H. G. Francis,male
Band 1025,Die Kosmische Hanse,Planet der Spiele,Die Betschiden im Bann der Lugosiade – ein Meisterspieler wird entführt,Johnny Bruck,Themistokles Kanellakis (2 x),"Dienstag, 14. April 1981","Surfo Mallagan, Brether Faddon, Scoutie, Arkiszon, Cylam, Wyskynen, Doevelynk",424 NGZ,"MARSAGAN, Couhrs",1981.0,a1,Marianne Sydow,female
Band 1026,Die Kosmische Hanse,Der Favorit,Er spielt eine gefährliche Rolle – ein Betschide bei der Lugosiade,Johnny Bruck,Themistokles Kanellakis (2 x),"Dienstag, 21. April 1981","Surfo Mallagan, Brether Faddon, Scoutie, Cylam, Doevelnyk, Gu",424 NGZ,Couhrs,1981.0,a1,Marianne Sydow,female
Band 1027,Die Kosmische Hanse,Das Superspiel,Er trägt vier Spoodies – er soll das große Spiel gewinnen,Johnny Bruck,Themistokles Kanellakis (2 x),"Dienstag, 28. April 1981","Surfo Mallagan, Brether Faddon, Scoutie, Doevelnyk, Rugtyl, Irsill, Gu",424 NGZ,Couhrs,1981.0,a1,William Voltz,male
Band 1028,Die Kosmische Hanse,Der einsame Gefangene,Ein Solaner – im Gefängnis der Kranen,Johnny Bruck,Themistokles Kanellakis (2 x),"Dienstag, 5. Mai 1981","Ford, Jaagan, Gu, Brether Faddon, Scoutie, I-Lindepj",424 NGZ,Couhrs,1981.0,a1,Clark Darlton,male
Band 1029,Die Kosmische Hanse,Die Unbezwing­baren,Vorstoß der 20. Flotte – ins Reich der Mascinoten,Johnny Bruck,Themistokles Kanellakis (1 x),"Dienstag, 12. Mai 1981","Valvul, Porpol, Maso, Plaquet, Vjuga, Preleddi, Gu",424 NGZ,Herzogtum von Krandhor,1981.0,a1,Kurt Mahr,male
Band 103,Die Posbis,Das Plasma-Ungeheuer,Sie entsenden das Energie-Kommando – und erschaffen das Plasma-Ungeheuer …,Johnny Bruck,Johnny Bruck,"Freitag, 23. August 1963","Perry Rhodan, Leutnant Harald Fitzgerald, Walt Ballin, Jeff Garibaldi, Vu-Pooh, Reginald Bull, Gucky",2102,"Beteigeuze, Erde",1963.0,a1,Kurt Brand,male
Band 1030,Die Kosmische Hanse,Meister der Vergangenheit,Die Betschiden – Herzog Gus Geheimwaffe im Einsatz,Johnny Bruck,Alfred Kelsner (2 x),"Dienstag, 19. Mai 1981","Surfo Mallagan, Brether Faddon, Scoutie, Maso, Valvul, Porpol, Olkring",424 NGZ,Herzogtum von Krandhor,1981.0,a1,Kurt Mahr,male
Band 1031,Die Kosmische Hanse,Mission Zeitbrücke,Sie überschreiten die Barriere – und pendeln zwischen Vergangenheit und Zukunft,Johnny Bruck,Alfred Kelsner (2 x),"Dienstag, 26. Mai 1981","Perry Rhodan, Geoffry Abel Waringer, Achmed Presley Hawk, Ras Tschubai, Galyanh von Seertos",424 NGZ,Milchstraße,1981.0,a1,H. G. Ewers,male
Band 1032,Die Kosmische Hanse,Der Experimental­planet,Quiupus neuer Versuch – auf der Welt der Mordsamen und Symbionten,Johnny Bruck,Alfred Kelsner (2 x),"Dienstag, 2. Juni 1981","Quiupu, Sarga Ehkesh, Demos Yoorn, Prester Ehkesh, Perry Rhodan, Adelaine",424 NGZ,Terra,1981.0,a1,Peter Griese,male
Band 1033,Die Kosmische Hanse,Die Hamiller-Tube,Ein Toter meldet sich – seine Heimat ist die BASIS,Johnny Bruck,Dirk Geiling (2 x),"Dienstag, 9. Juni 1981","Payne Hamiller, Waylon Javier, Demeter, Roi Danton, Olli-Bolli",424 NGZ,Milchstraße,1981.0,a1,Peter Griese,male
Band 1034,Die Kosmische Hanse,Kommandos aus dem Nichts,Seth-Apophis befiehlt – und ein Haluter gehorcht,Johnny Bruck,Dirk Geiling (2 x),"Dienstag, 16. Juni 1981","Icho Tolot, Ender Gardener, Jan Boarless, John Fall, Bruke Tosen, Kada Jocain, Solto Danc",424 NGZ,Milchstraße,1981.0,a1,H. G. Francis,male
Band 1035,Die Kosmische Hanse,SPHINX,Srimavo – das Mädchen aus dem Nichts erscheint,Johnny Bruck,Dirk Geiling (2 x),"Dienstag, 23. Juni 1981","Srimavo, Jakob Ellmer, Parnatzel, Brude Deerno, Perry Rhodan",424 NGZ / 425 NGZ,Terra,1981.0,a1,William Voltz,male
Band 1036,Die Kosmische Hanse,Das Spoodie-Schiff,Sie gehen an Bord – und sorgen für Unruhe,Johnny Bruck,Alfred Kelsner (2 x),"Dienstag, 30. Juni 1981","Brether Faddon, Scoutie, Surfo Mallagan, Maso, Tomason, Tanwalzen",425 NGZ,Berogan-Sektor,1981.0,a1,Peter Terrid,male
Band 1037,Die Kosmische Hanse,Gefangene der SOL,Der Kampf um die SOL – und um das Leben der Buhrlos,Johnny Bruck,Alfred Kelsner (2 x),"Dienstag, 7. Juli 1981","Surfo Mallagan, Scoutie, Brether Faddon, Tomason, Tanwalzen, Douc Langur",425 NGZ,"Kran, SOL",1981.0,a1,Peter Terrid,male
Band 1038,Die Kosmische Hanse,Der Verräter von Kran,Psychoterror in Kranennest – das Orakel sucht den Verräter,Johnny Bruck,Alfred Kelsner (2 x),"Dienstag, 14. Juli 1981","Gu, Carnuum, Zapelrow, Aljaka, Ciryak, Shere Tak",425 NGZ,Kran,1981.0,a1,Hans Kneifel,male
Band 1039,Die Kosmische Hanse,Die Stimme der Bruderschaft,Schwarze Tage für Kran – das Triumvirat zerbricht,Johnny Bruck,Alfred Kelsner (2 x),"Dienstag, 21. Juli 1981","Gu, Carnuum, Nikkam, Vornesch, Surfo Mallagan, Brether Faddon, Scoutie",425 NGZ,Kran,1981.0,a1,Kurt Mahr,male
Band 104,Die Posbis,Nur ein Greenhorn,Die Feinde der Menschheit kennen keine Gnade – auch nicht Hochzeitsreisenden gegenüber …,Johnny Bruck,Johnny Bruck (4 x),"Freitag, 30. August 1963","John Edgar Pincer, Cora Pincer, Valmonze, Clifton Shaugnessy, Amat-Palong, Major James Woodsworth, Schnitz",2102,Alazes Planet,1963.0,a1,William Voltz,male
Band 1040,Die Kosmische Hanse,Unheil über Kran,Das Spoodie-Schiff landet – Gefahr für das Orakel,Johnny Bruck,Alfred Kelsner (2 x),"Dienstag, 28. Juli 1981","Carnuum, Gu, Nikkam, Arzyria, Musanhaar, Klaque, Vornesch, Surfo Mallagan, Brether Faddon, Scoutie",425 NGZ,Kran,1981.0,a1,Kurt Mahr,male
Band 1041,Die Kosmische Hanse,DAS ORAKEL,Er lenkt ein Sternenreich – im Auftrag kosmischer Mächte,Johnny Bruck,"William Voltz,Alfred Kelsner (2 x)","Dienstag, 4. August 1981","Syskal, Carnuum, Gu, Surfo Mallagan, Brether Faddon, Scoutie, Gugmerlat, Das Orakel",425 NGZ,Kran,1981.0,a1,William Voltz,male
Band 1042,Die Kosmische Hanse,Gefahr aus M19,Der Unheimliche schlägt zu – Terra droht im Chaos zu versinken,Johnny Bruck,Alfred Kelsner (2 x),"Dienstag, 11. August 1981","Andhiya Chlotor, Perry Rhodan, Julian Tifflor, Gucky, Edmond Czygal, Reginald Bull",425 NGZ,Solsystem,1981.0,a1,H. G. Ewers,male
Band 1043,Die Kosmische Hanse,Vamanu,Er ist ein Altbeauftragter – sein Samsaru birgt tödliche Gefahren,Johnny Bruck,Alfred Kelsner (2 x),"Dienstag, 18. August 1981","Vamanu, Perry Rhodan, Reginald Bull, Gucky, Alaska Saedelaere, Julian Tifflor, Siska Taoming",425 NGZ,"Solsystem, M 19",1981.0,a1,H. G. Ewers,male
Band 1044,Die Kosmische Hanse,Die schwarze Macht,Agenten an Bord – die BASIS in Gefahr,Johnny Bruck,Alfred Kelsner (2 x),"Dienstag, 25. August 1981","Icho Tolot, Bruke Tosen, Solto Danc, Kada Jocain, Waylon Javier, Oliver genannt Olli-Bolli, Perry Rhodan",424 NGZ / 425 NGZ,BASIS,1981.0,a1,H. G. Francis,male
Band 1045,Die Kosmische Hanse,In den Höhlen von Lokvorth,Begegnung der kosmischen Findlinge – auf der Welt der Experimente,Johnny Bruck,Alfred Kelsner (2 x),"Dienstag, 1. September 1981","Srimavo, Jakob Ellmer, Parnatzel, Sarga Ehkesh, Demos Yoorn, Adelaie, Quiupu, Sherlock",425 NGZ,Lokvorth,1981.0,a1,Peter Griese,male
Band 1046,Die Kosmische Hanse,Terra im Schussfeld,Alarm im Wega-Sektor – eine Zeitweiche entsteht,Johnny Bruck,Alfred Kelsner (2 x),"Dienstag, 8. September 1981","Gucky, Ras Tschubai, Perry Rhodan, Bully, Geoffry Waringer, Fellmer Lloyd, Marge van Schaik, Tascerbill",425 NGZ,Wega-Sektor,1981.0,a1,Clark Darlton,male
Band 1047,Die Kosmische Hanse,Sklaven der Superintelligenz,Sie wirkt im verborgenen – und bewahrt ihre Geheimnisse,Johnny Bruck,Alfred Kelsner (2 x),"Dienstag, 15. September 1981","Icho Tolot, Bruke Tosen, Tascerbill, John Crawl, Gucky, Fellmer Lloyd, Perry Rhodan",425 NGZ,Hundertsonnenwelt,1981.0,a1,H. G. Francis,male
Band 1048,Die Kosmische Hanse,Atlans Rückkehr,Der Einsame der Zeit erwacht – nach zweihundert Jahren,Johnny Bruck,Alfred Kelsner (2 x),"Dienstag, 22. September 1981","Atlan, Surfo Mallagan, Gu, Carnuum, Breckcrown Hayes, Munduun",425 NGZ,Kran,1981.0,a1,William Voltz,male
Band 1049,Die Kosmische Hanse,Geheimagent für Kran,Wachablösung im Wasserpalast – die Bruderschaft erklärt den Krieg,Johnny Bruck,Alfred Kelsner (2 x),"Dienstag, 29. September 1981","Atlan, Nivridid, Chaktar, Pantschu, Rammbock, Dambor, Carnuum, Syskal",425 NGZ,Krandhor,1981.0,a1,Kurt Mahr,male
Band 105,Die Posbis,Die Geisterflotte,Sie steigen aus ihren Gräbern – und greifen die Erde an …,Johnny Bruck,Johnny Bruck,"Freitag, 6. September 1963","Perry Rhodan, Geral Khor, Major Bellefjord, Kadett Rumpus, Sgt. Meister, Gucky, Reginald Bull, Tanor, Gagolk",2102,"Arkon III, Erde",1963.0,a1,Clark Darlton,male
Band 1050,Die Kosmische Hanse,Die Roboter von Ursuf,Der Kampf auf dem Müllplaneten – Atlans letzter Einsatz in Vayquost,Johnny Bruck,Alfred Kelsner (2 x),"Dienstag, 6. Oktober 1981","Atlan, Chaktar, Pantschu, Nivridid, Der verseuchte Derrill, Nilgord, Carnuum, Syskal",425 NGZ,Ursuf,1981.0,a1,Kurt Mahr,male
Band 1051,Die Kosmische Hanse,Die schwarze Flamme,Kampf und Begegnung – Atlans Abenteuer auf Spoodie-Schlacke,Johnny Bruck,Alfred Kelsner (2 x),"Dienstag, 13. Oktober 1981","Atlan, Tanwalzen, Melborn, Caela, Swan, Fahlwedder, Gesil",425 NGZ,Spoodie-Schlacke,1981.0,a1,Ernst Vlcek,male
Band 1052,Die Kosmische Hanse,Finale auf Chircool,Die Betschiden am Scheideweg – ihr Traum soll sich erfüllen,Johnny Bruck,Alfred Kelsner (2 x),"Dienstag, 20. Oktober 1981","Jörg Breiskoll, Kritzel, Claude St. Vain, Atlan, Francette",425 NGZ,Chircool,1981.0,a1,Peter Griese,male
Band 1053,Die Kosmische Hanse,Metamorphose der Gläsernen,Die kosmische Bestimmung der Buhrlos – sie verlassen die SOL,Johnny Bruck,Alfred Kelsner (2 x),"Dienstag, 27. Oktober 1981","Atlan, Righter und Mesona Huskey, Foster St. Felix, Jörg Breiskoll",425 NGZ,SOL,1981.0,a1,Peter Griese,male
Band 1054,Die Kosmische Hanse,Der mentale Sturm,Perry Rhodans Gang nach Khrat – ins Zentrum des Chaos,Johnny Bruck,Alfred Kelsner (2 x),"Dienstag, 3. November 1981","Perry Rhodan, Tengri Lethos, Waylon Javier, Omdur Kuwalek, Eternazher, Unaire Zahidi",425 NGZ,"Milchstraße, Norgan-Tur (Khrat)",1981.0,a1,H. G. Ewers,male
Band 1055,Die Kosmische Hanse,Das psionische Labyrinth,Die Superintelligenz greift an – und Perry Rhodan muß sich bewähren,Johnny Bruck,Alfred Kelsner (2 x),"Dienstag, 10. November 1981","Perry Rhodan, Roi Danton, Waylon Javier, Oliver Javier, Eternazher, Lethos-Terakdschan",425 NGZ,Khrat,1981.0,a1,H. G. Ewers,male
Band 1056,Die Kosmische Hanse,Die steinerne Charta,Er ist der neue Ritter der Tiefe – er soll die ultimaten Fragen lösen,Johnny Bruck,Alfred Kelsner (2 x),"Dienstag, 17. November 1981","Perry Rhodan, Roi Danton, Waylon Javier, Skenzran, Radaut",425 NGZ,Khrat,1981.0,a1,William Voltz,male
Band 1057,Die Kosmische Hanse,Die Gestrandeten,Die Flucht zum Weltraumbahnhof – und der Sturz in die Unendlichkeit,Johnny Bruck,Alfred Kelsner (2 x),"Dienstag, 24. November 1981","Icho Tolot, Bruke Tosen, Truhllamp, Kosham, Camerrham, Dario Spouru, Dick Follow, Janice Morgan, Maud Bosch, Grek-1",425 NGZ,Lookout-Station,1981.0,a1,H. G. Francis,male
Band 1058,Die Kosmische Hanse,Vorstoß nach M 3,Terranische Suchkommandos auf den Spuren der Porleyter,Johnny Bruck,Alfred Kelsner (2 x),"Dienstag, 1. Dezember 1981","Perry Rhodan, Fellmer Lloyd, Gucky, Ras Tschubai, Irmina Kotschistowa, Nikki Frickel, Marcello Pantalini",425 NGZ,M 3,1981.0,a1,Kurt Mahr,male
Band 1059,Die Kosmische Hanse,Fels der Einsamkeit,Die Katastrophe von EMschen – auf der Giftwelt lauert der Tod,Johnny Bruck,Alfred Kelsner (2 x),"Dienstag, 8. Dezember 1981","Perry Rhodan, Irmina Kotschistowa, Nikki Frickel, Narktor, Wido Helfrich, Marcello Pantalini",425 NGZ,EMschen,1981.0,a1,Kurt Mahr,male
Band 106,Die Posbis,Der Götze von Passa,Sie suchen 10000 entführte Terraner – und finden den Schlangengott!,Johnny Bruck,Johnny Bruck,"Freitag, 13. September 1963","Nike Quinto, Ron Landry, Larry Randall, Lofty Patterson, Ayaa Oooy",Oktober 2102,Passa,1963.0,a1,Kurt Mahr,male
Band 1060,Die Kosmische Hanse,Der Planet Vulkan,Mit Gucky auf der Welt der Maringos – ein Abenteuer in M 3,Johnny Bruck,Alfred Kelsner (2 x),"Dienstag, 15. Dezember 1981","Mirko Hannema, Perry Rhodan, Gucky, Marcello Pantalini, Kuril, ManSander",425 NGZ,Vulkan,1981.0,a1,Clark Darlton,male
Band 1061,Die Kosmische Hanse,Beherrscher des Atoms,Sie sind Materie-Suggestoren – Seth-Apophis sendet sie aus,Johnny Bruck,Alfred Kelsner (2 x),"Dienstag, 22. Dezember 1981","Sagus-Rhet, Kerma-Jo, Rano-Fer, Kurma-Puja, Vasu-Deva, Nandu-Gora, Reginald Bull, Siska Taoming",425 NGZ,Xerasch u. a.,1981.0,a1,H. G. Ewers,male
Band 1062,Die Kosmische Hanse,Station der Porleyter,Die Expedition der Materie-Suggestoren – Notlandung auf einem kleinen Planeten,Johnny Bruck,Alfred Kelsner (2 x),"Dienstag, 29. Dezember 1981","Sagus-Rhet, Kerma-Jo, Krut, Hork, Lees, Tron, Falln, Res, Kaipastul",425 NGZ,M 3,1981.0,a1,H. G. Ewers,male
Band 1063,Die Kosmische Hanse,Ein Hauch von Leben,Das Geheimnis der lebenden Bäume – ein Abenteuer in M 3,Johnny Bruck,Alfred Kelsner (2 x),"Dienstag, 5. Januar 1982","Perry Rhodan, Gucky, Marcello Pantalini, Nuru Timbon, Vejlo Thesst, Lena Soytsiz",425 NGZ,M 3,1982.0,a1,Detlev G. Winter,male
Band 1064,Die Kosmische Hanse,Der Schiffbruch,Sabotage an Bord der DAN PICOT – Notlandung auf dem Planeten der Flößer,Johnny Bruck,Alfred Kelsner (2 x),"Dienstag, 12. Januar 1982","Perry Rhodan, Marcello Pantalini, Gucky, Bradley von Xanthen, Alaska Saedelaere",425 NGZ,M 3,1982.0,a1,Clark Darlton,male
Band 1065,Die Kosmische Hanse,Die Superviren,Panik auf Lokvorth – Quiupus Produkte sind frei,Johnny Bruck,Alfred Kelsner (2 x),"Dienstag, 19. Januar 1982","Sarga Ehkesh, Quiupu, Srimavo, Jakob Ellmer, Parnatzel, Galbraith Deighton",425 NGZ,Lokvorth,1982.0,a1,Peter Griese,male
Band 1066,Die Kosmische Hanse,Gesils Punkt,Zwischenstopp der SOL – Besuch auf der Station des Einsamen,Johnny Bruck,Alfred Kelsner (2 x),"Dienstag, 26. Januar 1982","Gesil, Atlan, Melborn, Parabus, Scriveer",425 NGZ,SOL,1982.0,a1,Ernst Vlcek,male
