series,author,gender,author_pos,release_year,character_pos,maincharacter_name
Band 1013,H. G. Ewers,male,a1,1981.0,C6,Gonos
Band 1014,H. G. Ewers,male,a1,1981.0,C1,Surfo Mallagan
Band 1014,H. G. Ewers,male,a1,1981.0,C2,Brether Faddon
Band 1014,H. G. Ewers,male,a1,1981.0,C3,Scoutie
Band 1014,H. G. Ewers,male,a1,1981.0,C4,Mayer
Band 1014,H. G. Ewers,male,a1,1981.0,C5,Daccsier
Band 1014,H. G. Ewers,male,a1,1981.0,C6,Gonos
Band 1015,Marianne Sydow,female,a1,1981.0,C1,Surfo Mallagan
Band 1015,Marianne Sydow,female,a1,1981.0,C2,Brether Faddon
Band 1015,Marianne Sydow,female,a1,1981.0,C3,Scoutie
Band 1016,Clark Darlton,male,a1,1981.0,C1,Surfo Mallagan
Band 1016,Clark Darlton,male,a1,1981.0,C2,Brether Faddon
Band 1016,Clark Darlton,male,a1,1981.0,C3,Scoutie
Band 1016,Clark Darlton,male,a1,1981.0,C4,Keros
Band 1016,Clark Darlton,male,a1,1981.0,C5,Jons
Band 1016,Clark Darlton,male,a1,1981.0,C6,Cersonur
Band 1017,Kurt Mahr,male,a1,1981.0,C1,Surfo Mallagan
Band 1017,Kurt Mahr,male,a1,1981.0,C2,Brether Faddon
Band 1017,Kurt Mahr,male,a1,1981.0,C3,Scoutie
Band 1017,Kurt Mahr,male,a1,1981.0,C4,Killsoffer
Band 1017,Kurt Mahr,male,a1,1981.0,C5,Kerlighan
Band 1017,Kurt Mahr,male,a1,1981.0,C6,Clazzence
Band 1018,Kurt Mahr,male,a1,1981.0,C1,Surfo Mallagan
Band 1018,Kurt Mahr,male,a1,1981.0,C2,Brether Faddon
Band 1018,Kurt Mahr,male,a1,1981.0,C3,Scoutie
Band 1018,Kurt Mahr,male,a1,1981.0,C4,Firsenq
Band 1018,Kurt Mahr,male,a1,1981.0,C5,Versellu
Band 1018,Kurt Mahr,male,a1,1981.0,C6,Spottlos
Band 1019,Hans Kneifel,male,a1,1981.0,C1,Surfo Mallagan
Band 1019,Hans Kneifel,male,a1,1981.0,C2,Brether Faddon
Band 1019,Hans Kneifel,male,a1,1981.0,C3,Scoutie
Band 1019,Hans Kneifel,male,a1,1981.0,C4,Sargamec
Band 1019,Hans Kneifel,male,a1,1981.0,C5,Breborn
Band 1019,Hans Kneifel,male,a1,1981.0,C6,Carderhör
Band 102,Kurt Mahr,male,a1,1963.0,C1,Nike Quinto
Band 102,Kurt Mahr,male,a1,1963.0,C2,Ron Landry
Band 102,Kurt Mahr,male,a1,1963.0,C3,Larry Randall
Band 102,Kurt Mahr,male,a1,1963.0,C4,Alboolal
Band 102,Kurt Mahr,male,a1,1963.0,C5,Richard Silligan
Band 102,Kurt Mahr,male,a1,1963.0,C6,Lyn Trenton
Band 1020,William Voltz,male,a1,1981.0,C1,Quiupu
Band 1020,William Voltz,male,a1,1981.0,C2,Jen Salik
Band 1020,William Voltz,male,a1,1981.0,C3,Quiryleinen
Band 1020,William Voltz,male,a1,1981.0,C4,Perry Rhodan
Band 1020,William Voltz,male,a1,1981.0,C5,Reginald Bull
Band 1021,H. G. Francis,male,a1,1981.0,C1,Icho Tolot
Band 1021,H. G. Francis,male,a1,1981.0,C2,Addison Uptigrove
Band 1021,H. G. Francis,male,a1,1981.0,C3,Gernon Egk
Band 1021,H. G. Francis,male,a1,1981.0,C4,Robert Archibald
Band 1021,H. G. Francis,male,a1,1981.0,C5,Bruke Tosen
Band 1022,Ernst Vlcek,male,a1,1981.0,C1,Arger Staball
Band 1022,Ernst Vlcek,male,a1,1981.0,C2,Catherc
Band 1022,Ernst Vlcek,male,a1,1981.0,C3,Gwen Corlin
Band 1022,Ernst Vlcek,male,a1,1981.0,C4,Linde Heafen
Band 1022,Ernst Vlcek,male,a1,1981.0,C5,Askaargud
Band 1022,Ernst Vlcek,male,a1,1981.0,C6,Aschantatscht
Band 1023,Peter Terrid,male,a1,1981.0,C1,Galgan Maresch
Band 1023,Peter Terrid,male,a1,1981.0,C2,Perry Rhodan
Band 1023,Peter Terrid,male,a1,1981.0,C3,Thoxhar
Band 1023,Peter Terrid,male,a1,1981.0,C4,Dareena
Band 1023,Peter Terrid,male,a1,1981.0,C5,Eiling
Band 1023,Peter Terrid,male,a1,1981.0,C6,Beneder
Band 1024,H. G. Francis,male,a1,1981.0,C1,Perry Rhodan
Band 1024,H. G. Francis,male,a1,1981.0,C2,Arger Staball
Band 1024,H. G. Francis,male,a1,1981.0,C3,Icho Tolot
Band 1024,H. G. Francis,male,a1,1981.0,C4,Kyrr
Band 1024,H. G. Francis,male,a1,1981.0,C5,Marlett Berga
Band 1024,H. G. Francis,male,a1,1981.0,C6,Anny Vorscheyn
Band 1025,Marianne Sydow,female,a1,1981.0,C1,Surfo Mallagan
Band 1025,Marianne Sydow,female,a1,1981.0,C2,Brether Faddon
Band 1025,Marianne Sydow,female,a1,1981.0,C3,Scoutie
Band 1025,Marianne Sydow,female,a1,1981.0,C4,Arkiszon
Band 1025,Marianne Sydow,female,a1,1981.0,C5,Cylam
Band 1025,Marianne Sydow,female,a1,1981.0,C6,Wyskynen
Band 1026,Marianne Sydow,female,a1,1981.0,C1,Surfo Mallagan
Band 1026,Marianne Sydow,female,a1,1981.0,C2,Brether Faddon
Band 1026,Marianne Sydow,female,a1,1981.0,C3,Scoutie
Band 1026,Marianne Sydow,female,a1,1981.0,C4,Cylam
Band 1026,Marianne Sydow,female,a1,1981.0,C5,Doevelnyk
Band 1026,Marianne Sydow,female,a1,1981.0,C6,Gu
Band 1027,William Voltz,male,a1,1981.0,C1,Surfo Mallagan
Band 1027,William Voltz,male,a1,1981.0,C2,Brether Faddon
Band 1027,William Voltz,male,a1,1981.0,C3,Scoutie
Band 1027,William Voltz,male,a1,1981.0,C4,Doevelnyk
Band 1027,William Voltz,male,a1,1981.0,C5,Rugtyl
Band 1027,William Voltz,male,a1,1981.0,C6,Irsill
Band 1028,Clark Darlton,male,a1,1981.0,C1,Ford
Band 1028,Clark Darlton,male,a1,1981.0,C2,Jaagan
Band 1028,Clark Darlton,male,a1,1981.0,C3,Gu
Band 1028,Clark Darlton,male,a1,1981.0,C4,Brether Faddon
Band 1028,Clark Darlton,male,a1,1981.0,C5,Scoutie
Band 1028,Clark Darlton,male,a1,1981.0,C6,I-Lindepj
Band 1029,Kurt Mahr,male,a1,1981.0,C1,Valvul
Band 1029,Kurt Mahr,male,a1,1981.0,C2,Porpol
Band 1029,Kurt Mahr,male,a1,1981.0,C3,Maso
Band 1029,Kurt Mahr,male,a1,1981.0,C4,Plaquet
Band 1029,Kurt Mahr,male,a1,1981.0,C5,Vjuga
Band 1029,Kurt Mahr,male,a1,1981.0,C6,Preleddi
Band 103,Kurt Brand,male,a1,1963.0,C1,Perry Rhodan
Band 103,Kurt Brand,male,a1,1963.0,C2,Leutnant Harald Fitzgerald
Band 103,Kurt Brand,male,a1,1963.0,C3,Walt Ballin
Band 103,Kurt Brand,male,a1,1963.0,C4,Jeff Garibaldi
Band 103,Kurt Brand,male,a1,1963.0,C5,Vu-Pooh
Band 103,Kurt Brand,male,a1,1963.0,C6,Reginald Bull
Band 1030,Kurt Mahr,male,a1,1981.0,C1,Surfo Mallagan
Band 1030,Kurt Mahr,male,a1,1981.0,C2,Brether Faddon
Band 1030,Kurt Mahr,male,a1,1981.0,C3,Scoutie
Band 1030,Kurt Mahr,male,a1,1981.0,C4,Maso
Band 1030,Kurt Mahr,male,a1,1981.0,C5,Valvul
Band 1030,Kurt Mahr,male,a1,1981.0,C6,Porpol
Band 1031,H. G. Ewers,male,a1,1981.0,C1,Perry Rhodan
Band 1031,H. G. Ewers,male,a1,1981.0,C2,Geoffry Abel Waringer
Band 1031,H. G. Ewers,male,a1,1981.0,C3,Achmed Presley Hawk
Band 1031,H. G. Ewers,male,a1,1981.0,C4,Ras Tschubai
Band 1031,H. G. Ewers,male,a1,1981.0,C5,Galyanh von Seertos
Band 1032,Peter Griese,male,a1,1981.0,C1,Quiupu
Band 1032,Peter Griese,male,a1,1981.0,C2,Sarga Ehkesh
Band 1032,Peter Griese,male,a1,1981.0,C3,Demos Yoorn
Band 1032,Peter Griese,male,a1,1981.0,C4,Prester Ehkesh
Band 1032,Peter Griese,male,a1,1981.0,C5,Perry Rhodan
Band 1032,Peter Griese,male,a1,1981.0,C6,Adelaine
Band 1033,Peter Griese,male,a1,1981.0,C1,Payne Hamiller
Band 1033,Peter Griese,male,a1,1981.0,C2,Waylon Javier
Band 1033,Peter Griese,male,a1,1981.0,C3,Demeter
Band 1033,Peter Griese,male,a1,1981.0,C4,Roi Danton
Band 1033,Peter Griese,male,a1,1981.0,C5,Olli-Bolli
Band 1034,H. G. Francis,male,a1,1981.0,C1,Icho Tolot
Band 1034,H. G. Francis,male,a1,1981.0,C2,Ender Gardener
Band 1034,H. G. Francis,male,a1,1981.0,C3,Jan Boarless
Band 1034,H. G. Francis,male,a1,1981.0,C4,John Fall
Band 1034,H. G. Francis,male,a1,1981.0,C5,Bruke Tosen
Band 1034,H. G. Francis,male,a1,1981.0,C6,Kada Jocain
Band 1035,William Voltz,male,a1,1981.0,C1,Srimavo
Band 1035,William Voltz,male,a1,1981.0,C2,Jakob Ellmer
Band 1035,William Voltz,male,a1,1981.0,C3,Parnatzel
Band 1035,William Voltz,male,a1,1981.0,C4,Brude Deerno
Band 1035,William Voltz,male,a1,1981.0,C5,Perry Rhodan
Band 1036,Peter Terrid,male,a1,1981.0,C1,Brether Faddon
Band 1036,Peter Terrid,male,a1,1981.0,C2,Scoutie
Band 1036,Peter Terrid,male,a1,1981.0,C3,Surfo Mallagan
Band 1036,Peter Terrid,male,a1,1981.0,C4,Maso
Band 1036,Peter Terrid,male,a1,1981.0,C5,Tomason
Band 1036,Peter Terrid,male,a1,1981.0,C6,Tanwalzen
Band 1037,Peter Terrid,male,a1,1981.0,C1,Surfo Mallagan
Band 1037,Peter Terrid,male,a1,1981.0,C2,Scoutie
Band 1037,Peter Terrid,male,a1,1981.0,C3,Brether Faddon
Band 1037,Peter Terrid,male,a1,1981.0,C4,Tomason
Band 1037,Peter Terrid,male,a1,1981.0,C5,Tanwalzen
Band 1037,Peter Terrid,male,a1,1981.0,C6,Douc Langur
Band 1038,Hans Kneifel,male,a1,1981.0,C1,Gu
Band 1038,Hans Kneifel,male,a1,1981.0,C2,Carnuum
Band 1038,Hans Kneifel,male,a1,1981.0,C3,Zapelrow
Band 1038,Hans Kneifel,male,a1,1981.0,C4,Aljaka
Band 1038,Hans Kneifel,male,a1,1981.0,C5,Ciryak
Band 1038,Hans Kneifel,male,a1,1981.0,C6,Shere Tak
Band 1039,Kurt Mahr,male,a1,1981.0,C1,Gu
Band 1039,Kurt Mahr,male,a1,1981.0,C2,Carnuum
Band 1039,Kurt Mahr,male,a1,1981.0,C3,Nikkam
Band 1039,Kurt Mahr,male,a1,1981.0,C4,Vornesch
Band 1039,Kurt Mahr,male,a1,1981.0,C5,Surfo Mallagan
Band 1039,Kurt Mahr,male,a1,1981.0,C6,Brether Faddon
Band 104,William Voltz,male,a1,1963.0,C1,John Edgar Pincer
Band 104,William Voltz,male,a1,1963.0,C2,Cora Pincer
Band 104,William Voltz,male,a1,1963.0,C3,Valmonze
Band 104,William Voltz,male,a1,1963.0,C4,Clifton Shaugnessy
Band 104,William Voltz,male,a1,1963.0,C5,Amat-Palong
Band 104,William Voltz,male,a1,1963.0,C6,Major James Woodsworth
Band 1040,Kurt Mahr,male,a1,1981.0,C1,Carnuum
Band 1040,Kurt Mahr,male,a1,1981.0,C2,Gu
Band 1040,Kurt Mahr,male,a1,1981.0,C3,Nikkam
Band 1040,Kurt Mahr,male,a1,1981.0,C4,Arzyria
Band 1040,Kurt Mahr,male,a1,1981.0,C5,Musanhaar
Band 1040,Kurt Mahr,male,a1,1981.0,C6,Klaque
Band 1041,William Voltz,male,a1,1981.0,C1,Syskal
Band 1041,William Voltz,male,a1,1981.0,C2,Carnuum
Band 1041,William Voltz,male,a1,1981.0,C3,Gu
Band 1041,William Voltz,male,a1,1981.0,C4,Surfo Mallagan
Band 1041,William Voltz,male,a1,1981.0,C5,Brether Faddon
Band 1041,William Voltz,male,a1,1981.0,C6,Scoutie
Band 1042,H. G. Ewers,male,a1,1981.0,C1,Andhiya Chlotor
Band 1042,H. G. Ewers,male,a1,1981.0,C2,Perry Rhodan
Band 1042,H. G. Ewers,male,a1,1981.0,C3,Julian Tifflor
Band 1042,H. G. Ewers,male,a1,1981.0,C4,Gucky
Band 1042,H. G. Ewers,male,a1,1981.0,C5,Edmond Czygal
Band 1042,H. G. Ewers,male,a1,1981.0,C6,Reginald Bull
Band 1043,H. G. Ewers,male,a1,1981.0,C1,Vamanu
Band 1043,H. G. Ewers,male,a1,1981.0,C2,Perry Rhodan
Band 1043,H. G. Ewers,male,a1,1981.0,C3,Reginald Bull
Band 1043,H. G. Ewers,male,a1,1981.0,C4,Gucky
Band 1043,H. G. Ewers,male,a1,1981.0,C5,Alaska Saedelaere
Band 1043,H. G. Ewers,male,a1,1981.0,C6,Julian Tifflor
Band 1044,H. G. Francis,male,a1,1981.0,C1,Icho Tolot
Band 1044,H. G. Francis,male,a1,1981.0,C2,Bruke Tosen
Band 1044,H. G. Francis,male,a1,1981.0,C3,Solto Danc
Band 1044,H. G. Francis,male,a1,1981.0,C4,Kada Jocain
Band 1044,H. G. Francis,male,a1,1981.0,C5,Waylon Javier
Band 1044,H. G. Francis,male,a1,1981.0,C6,Oliver genannt Olli-Bolli
Band 1045,Peter Griese,male,a1,1981.0,C1,Srimavo
Band 1045,Peter Griese,male,a1,1981.0,C2,Jakob Ellmer
Band 1045,Peter Griese,male,a1,1981.0,C3,Parnatzel
Band 1045,Peter Griese,male,a1,1981.0,C4,Sarga Ehkesh
Band 1045,Peter Griese,male,a1,1981.0,C5,Demos Yoorn
Band 1045,Peter Griese,male,a1,1981.0,C6,Adelaie
Band 1046,Clark Darlton,male,a1,1981.0,C1,Gucky
Band 1046,Clark Darlton,male,a1,1981.0,C2,Ras Tschubai
Band 1046,Clark Darlton,male,a1,1981.0,C3,Perry Rhodan
Band 1046,Clark Darlton,male,a1,1981.0,C4,Bully
Band 1046,Clark Darlton,male,a1,1981.0,C5,Geoffry Waringer
Band 1046,Clark Darlton,male,a1,1981.0,C6,Fellmer Lloyd
Band 1047,H. G. Francis,male,a1,1981.0,C1,Icho Tolot
Band 1047,H. G. Francis,male,a1,1981.0,C2,Bruke Tosen
Band 1047,H. G. Francis,male,a1,1981.0,C3,Tascerbill
Band 1047,H. G. Francis,male,a1,1981.0,C4,John Crawl
Band 1047,H. G. Francis,male,a1,1981.0,C5,Gucky
Band 1047,H. G. Francis,male,a1,1981.0,C6,Fellmer Lloyd
Band 1048,William Voltz,male,a1,1981.0,C1,Atlan
Band 1048,William Voltz,male,a1,1981.0,C2,Surfo Mallagan
Band 1048,William Voltz,male,a1,1981.0,C3,Gu
Band 1048,William Voltz,male,a1,1981.0,C4,Carnuum
Band 1048,William Voltz,male,a1,1981.0,C5,Breckcrown Hayes
Band 1048,William Voltz,male,a1,1981.0,C6,Munduun
Band 1049,Kurt Mahr,male,a1,1981.0,C1,Atlan
Band 1049,Kurt Mahr,male,a1,1981.0,C2,Nivridid
Band 1049,Kurt Mahr,male,a1,1981.0,C3,Chaktar
Band 1049,Kurt Mahr,male,a1,1981.0,C4,Pantschu
Band 1049,Kurt Mahr,male,a1,1981.0,C5,Rammbock
Band 1049,Kurt Mahr,male,a1,1981.0,C6,Dambor
Band 105,Clark Darlton,male,a1,1963.0,C1,Perry Rhodan
Band 105,Clark Darlton,male,a1,1963.0,C2,Geral Khor
Band 105,Clark Darlton,male,a1,1963.0,C3,Major Bellefjord
Band 105,Clark Darlton,male,a1,1963.0,C4,Kadett Rumpus
Band 105,Clark Darlton,male,a1,1963.0,C5,Sgt. Meister
Band 105,Clark Darlton,male,a1,1963.0,C6,Gucky
Band 1050,Kurt Mahr,male,a1,1981.0,C1,Atlan
Band 1050,Kurt Mahr,male,a1,1981.0,C2,Chaktar
Band 1050,Kurt Mahr,male,a1,1981.0,C3,Pantschu
Band 1050,Kurt Mahr,male,a1,1981.0,C4,Nivridid
Band 1050,Kurt Mahr,male,a1,1981.0,C5,Der verseuchte Derrill
Band 1050,Kurt Mahr,male,a1,1981.0,C6,Nilgord
Band 1051,Ernst Vlcek,male,a1,1981.0,C1,Atlan
Band 1051,Ernst Vlcek,male,a1,1981.0,C2,Tanwalzen
Band 1051,Ernst Vlcek,male,a1,1981.0,C3,Melborn
Band 1051,Ernst Vlcek,male,a1,1981.0,C4,Caela
Band 1051,Ernst Vlcek,male,a1,1981.0,C5,Swan
Band 1051,Ernst Vlcek,male,a1,1981.0,C6,Fahlwedder
Band 1052,Peter Griese,male,a1,1981.0,C1,Jörg Breiskoll
Band 1052,Peter Griese,male,a1,1981.0,C2,Kritzel
Band 1052,Peter Griese,male,a1,1981.0,C3,Claude St. Vain
Band 1052,Peter Griese,male,a1,1981.0,C4,Atlan
Band 1052,Peter Griese,male,a1,1981.0,C5,Francette
Band 1053,Peter Griese,male,a1,1981.0,C1,Atlan
Band 1053,Peter Griese,male,a1,1981.0,C2,Righter und Mesona Huskey
Band 1053,Peter Griese,male,a1,1981.0,C3,Foster St. Felix
Band 1053,Peter Griese,male,a1,1981.0,C4,Jörg Breiskoll
Band 1054,H. G. Ewers,male,a1,1981.0,C1,Perry Rhodan
Band 1054,H. G. Ewers,male,a1,1981.0,C2,Tengri Lethos
Band 1054,H. G. Ewers,male,a1,1981.0,C3,Waylon Javier
Band 1054,H. G. Ewers,male,a1,1981.0,C4,Omdur Kuwalek
Band 1054,H. G. Ewers,male,a1,1981.0,C5,Eternazher
Band 1054,H. G. Ewers,male,a1,1981.0,C6,Unaire Zahidi
Band 1055,H. G. Ewers,male,a1,1981.0,C1,Perry Rhodan
Band 1055,H. G. Ewers,male,a1,1981.0,C2,Roi Danton
Band 1055,H. G. Ewers,male,a1,1981.0,C3,Waylon Javier
Band 1055,H. G. Ewers,male,a1,1981.0,C4,Oliver Javier
Band 1055,H. G. Ewers,male,a1,1981.0,C5,Eternazher
Band 1055,H. G. Ewers,male,a1,1981.0,C6,Lethos-Terakdschan
Band 1056,William Voltz,male,a1,1981.0,C1,Perry Rhodan
Band 1056,William Voltz,male,a1,1981.0,C2,Roi Danton
Band 1056,William Voltz,male,a1,1981.0,C3,Waylon Javier
Band 1056,William Voltz,male,a1,1981.0,C4,Skenzran
Band 1056,William Voltz,male,a1,1981.0,C5,Radaut
Band 1057,H. G. Francis,male,a1,1981.0,C1,Icho Tolot
Band 1057,H. G. Francis,male,a1,1981.0,C2,Bruke Tosen
Band 1057,H. G. Francis,male,a1,1981.0,C3,Truhllamp
Band 1057,H. G. Francis,male,a1,1981.0,C4,Kosham
Band 1057,H. G. Francis,male,a1,1981.0,C5,Camerrham
Band 1057,H. G. Francis,male,a1,1981.0,C6,Dario Spouru
Band 1058,Kurt Mahr,male,a1,1981.0,C1,Perry Rhodan
Band 1058,Kurt Mahr,male,a1,1981.0,C2,Fellmer Lloyd
Band 1058,Kurt Mahr,male,a1,1981.0,C3,Gucky
Band 1058,Kurt Mahr,male,a1,1981.0,C4,Ras Tschubai
Band 1058,Kurt Mahr,male,a1,1981.0,C5,Irmina Kotschistowa
Band 1058,Kurt Mahr,male,a1,1981.0,C6,Nikki Frickel
Band 1059,Kurt Mahr,male,a1,1981.0,C1,Perry Rhodan
Band 1059,Kurt Mahr,male,a1,1981.0,C2,Irmina Kotschistowa
Band 1059,Kurt Mahr,male,a1,1981.0,C3,Nikki Frickel
Band 1059,Kurt Mahr,male,a1,1981.0,C4,Narktor
Band 1059,Kurt Mahr,male,a1,1981.0,C5,Wido Helfrich
Band 1059,Kurt Mahr,male,a1,1981.0,C6,Marcello Pantalini
Band 106,Kurt Mahr,male,a1,1963.0,C1,Nike Quinto
Band 106,Kurt Mahr,male,a1,1963.0,C2,Ron Landry
Band 106,Kurt Mahr,male,a1,1963.0,C3,Larry Randall
Band 106,Kurt Mahr,male,a1,1963.0,C4,Lofty Patterson
Band 106,Kurt Mahr,male,a1,1963.0,C5,Ayaa Oooy
Band 1060,Clark Darlton,male,a1,1981.0,C1,Mirko Hannema
Band 1060,Clark Darlton,male,a1,1981.0,C2,Perry Rhodan
Band 1060,Clark Darlton,male,a1,1981.0,C3,Gucky
